N,Team,Season,GP,W,L,T,OT,P,ROW,P_Shr,GF,GA,S_O_Win,GF_GP,GA_GP,PP_Shr,PK_Shr,Shots_GP,SA_GP,FOW_Shr
1,Pittsburgh Penguins,2016-17,25,16,9,0,0,32,0,.640,77,57,0,3.08,2.28,20.5,83.6,28.7,31.8,50.4
2,Nashville Predators,2016-17,22,14,8,0,0,28,0,.636,60,48,0,2.73,2.18,16.9,89.1,29.7,28.1,50.5
3,Ottawa Senators,2016-17,19,11,8,0,0,22,0,.579,47,50,0,2.47,2.63,11.5,81.3,30.2,32.7,51.5
4,Anaheim Ducks,2016-17,17,10,7,0,0,20,0,.588,50,52,0,2.94,3.06,13.0,76.6,34.2,32.3,55.2
5,Edmonton Oilers,2016-17,13,7,6,0,0,14,0,.538,36,35,0,2.77,2.69,21.4,85.7,29.2,34.2,44.4
6,Washington Capitals,2016-17,13,7,6,0,0,14,0,.538,36,36,0,2.77,2.77,25.0,85.0,33.8,28.8,47.5
7,Vegas Golden Knights,2017-18,8,6,2,0,0,12,0,.750,21,14,0,2.63,1.75,17.1,85.3,32.6,35.8,46.6
8,Nashville Predators,2017-18,10,6,4,0,0,12,0,.600,34,31,0,3.40,3.10,21.9,83.9,36.0,31.9,56.7
9,Tampa Bay Lightning,2017-18,8,6,2,0,0,12,0,.750,28,21,0,3.50,2.63,25.8,79.2,34.0,30.5,53.0
10,New York Rangers,2016-17,12,6,6,0,0,12,0,.500,34,30,0,2.83,2.50,7.7,89.5,33.0,33.0,47.1
11,Pittsburgh Penguins,2017-18,10,6,4,0,0,12,0,.600,38,26,0,3.80,2.60,21.1,84.4,28.8,25.7,51.9
12,Washington Capitals,2017-18,10,6,4,0,0,12,0,.600,35,28,0,3.50,2.80,31.6,81.1,33.2,30.0,48.9
13,St. Louis Blues,2016-17,11,6,5,0,0,12,0,.545,22,23,0,2.00,2.09,6.7,80.0,26.9,30.6,45.0
14,Winnipeg Jets,2017-18,9,6,3,0,0,12,0,.667,32,21,0,3.56,2.33,25.0,73.1,35.1,30.4,48.9
15,San Jose Sharks,2017-18,8,6,2,0,0,12,0,.750,27,18,0,3.38,2.25,24.4,80.0,35.6,32.8,52.5
16,Boston Bruins,2017-18,10,5,5,0,0,10,0,.500,37,30,0,3.70,3.00,34.6,74.1,31.8,30.1,48.7
17,Toronto Maple Leafs,2017-18,7,3,4,0,0,6,0,.428,20,28,0,2.86,4.00,26.7,66.7,28.1,35.0,50.2
18,San Jose Sharks,2016-17,6,2,4,0,0,4,0,.333,14,12,0,2.33,2.00,19.2,87.5,28.8,28.2,52.8
19,Montréal Canadiens,2016-17,6,2,4,0,0,4,0,.333,11,14,0,1.83,2.33,15.0,93.3,34.3,30.2,50.9
20,Boston Bruins,2016-17,6,2,4,0,0,4,0,.333,13,15,0,2.17,2.50,18.8,78.3,27.5,31.2,50.1
21,Colorado Avalanche,2017-18,6,2,4,0,0,4,0,.333,15,22,0,2.50,3.67,10.0,84.2,28.7,35.3,40.9
